model,dataset,phase,k_ecosystems,n_runs,H,p,epsilon_sq
resnet18,cifar100,Inference,7,35,33.33,9.045386293179479e-06,0.976
resnet18,cifar100,Training,7,35,33.33,9.045386293179479e-06,0.976
resnet18,fashionmnist,Inference,7,35,32.75,1.1730714682610348e-05,0.955
resnet18,fashionmnist,Training,7,35,33.33,9.045386293179479e-06,0.976
resnet18,tinyimagenet,Inference,7,35,32.85,1.1189628772613419e-05,0.959
resnet18,tinyimagenet,Training,7,35,33.33,9.045386293179479e-06,0.976
vgg16,cifar100,Inference,7,35,33.33,9.045386293179479e-06,0.976
vgg16,cifar100,Training,7,35,33.33,9.045386293179479e-06,0.976
vgg16,fashionmnist,Inference,7,35,33.33,9.045386293179479e-06,0.976
vgg16,fashionmnist,Training,7,35,33.33,9.045386293179479e-06,0.976
vgg16,tinyimagenet,Inference,7,35,32.95,1.0709386316798497e-05,0.963
vgg16,tinyimagenet,Training,7,35,33.33,9.045386293179479e-06,0.976
