modello,dataset,fase,epoca,timestamp,project_name,run_id,experiment_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue,language
resnet18,cifar100,eval,1,2025-09-26T16:03:10,codecarbon,ad1f0c0a-adc7-4db5-8e58-8d00a6e8f845,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.116503378842026,4.713142664351923e-05,1.512317521087735e-05,37.065811123,76.42596498915111,70.0,2.6605764947474656e-05,6.580505264253134e-05,5.010161488575654e-05,0.0001425124324757,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,2,2025-09-26T16:03:59,codecarbon,ef3b68c3-16f4-4fe7-ba92-b51033eef342,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.0764271658845246,4.617187075861575e-05,1.500827689685953e-05,37.480713916000006,75.24786671301703,70.0,2.644943387028863e-05,6.394505115991933e-05,4.921651515307733e-05,0.0001396110001832,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,3,2025-09-26T16:04:45,codecarbon,10859187-1ec0-4b97-9288-37010a1f8fd0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.836862401571125,4.2368622221147e-05,1.493502899459706e-05,37.596332737,75.77577763339045,70.0,2.4061151361953247e-05,5.937115861343045e-05,4.467871579626162e-05,0.0001281110257716,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,4,2025-09-26T16:05:31,codecarbon,9344a1b5-9834-426e-8037-0e055a8dbf54,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.928565630223602,4.4967386355902944e-05,1.535474769348761e-05,37.476738784000005,80.0751974992363,70.0,2.490990184201316e-05,6.471116288508938e-05,4.63479068919292e-05,0.000135968971619,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,5,2025-09-26T16:06:16,codecarbon,e934e9b0-0ef0-47d9-85bd-9253fe3ef82d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.999488969799131,4.4877845996669336e-05,1.4961830647996917e-05,37.539759700000005,75.23323551802713,70.0,2.5695895545746583e-05,6.224893868278514e-05,4.7753392044817e-05,0.0001356982262733,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,6,2025-09-26T16:07:02,codecarbon,9f56d33d-726a-4475-aece-874287e5cadc,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9423099528066814,4.520384518423284e-05,1.5363386559975678e-05,37.266669896500005,80.0182621387349,70.0,2.4951737433230693e-05,6.50208853443246e-05,4.671133510871895e-05,0.0001366839578862,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,7,2025-09-26T16:07:48,codecarbon,a59c4608-cbb1-4826-9993-d686162d5834,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.931505628861487,4.425918460441775e-05,1.509776551976356e-05,37.476738784000005,77.28857032484498,70.0,2.4928978864060723e-05,6.251393889300516e-05,4.638464713029357e-05,0.0001338275648873,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,8,2025-09-26T16:08:36,codecarbon,294aabe6-8d72-421e-911a-ea4de86092d8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9724190179258585,4.477289559777768e-05,1.506278062674354e-05,37.62008229700001,76.25048748555601,70.0,2.550102691171468e-05,6.261171675703281e-05,4.7268141550011935e-05,0.0001353808852187,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,9,2025-09-26T16:09:21,codecarbon,1dbf06c4-9350-4491-8b17-f71c1c8c785d,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9185007577762008,4.422036178369434e-05,1.515173901047357e-05,37.497167668,77.80034270458185,70.0,2.4822145610302387e-05,6.271255016088162e-05,4.617547961598676e-05,0.0001337101753871,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,10,2025-09-26T16:10:06,codecarbon,db3cf982-34d3-40e2-bee0-a39f0216c9ec,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.913423429708928,4.412122065061701e-05,1.5144115407565402e-05,37.382946004,78.0853107567848,70.0,2.465729675368352e-05,6.276893910239778e-05,4.598416409377631e-05,0.0001334103999498,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,11,2025-09-26T16:10:51,codecarbon,0bac6225-f587-4ed1-92c4-c1a08fd1809b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9391167419962585,4.4957384758536165e-05,1.5296222880892084e-05,37.6443385165,79.42141957802932,70.0,2.5091272810708225e-05,6.43689403858616e-05,4.647851635106943e-05,0.0001359387295476,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,12,2025-09-26T16:11:36,codecarbon,29fb1c07-869d-4b0d-8c02-f3bd0465a495,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.965808873064816,4.522717350906106e-05,1.524952397297405e-05,37.4568761665,78.65489032739109,70.0,2.5275379346207927e-05,6.438810706299591e-05,4.709100989598989e-05,0.0001367544963051,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,13,2025-09-26T16:12:21,codecarbon,f049d775-c514-4df2-9919-f9f4916ec46f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.888801474124193,4.4556831395815215e-05,1.5423985273797206e-05,37.5078837745,80.84271541634979,70.0,2.456491418054749e-05,6.448532936786933e-05,4.567732312716544e-05,0.0001347275666755,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,14,2025-09-26T16:13:06,codecarbon,45760277-4be2-4b15-b4ea-2712b29c59a7,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.831675827037543,4.314113917673328e-05,1.5235197039438972e-05,37.596332737,79.17293854363338,70.0,2.400300440472541e-05,6.191171619462921e-05,4.45321833391467e-05,0.0001304469039385,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,15,2025-09-26T16:13:51,codecarbon,ba195b3f-2285-48ae-b7f3-8332e548e21b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.898625704925508,4.46575158939898e-05,1.5406444446451035e-05,37.6200265195,80.92450079327828,70.0,2.467679417640188e-05,6.463477393481298e-05,4.572044071198131e-05,0.0001350320088231,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,16,2025-09-26T16:14:37,codecarbon,e7f1199d-619b-4d88-a4f8-66b9a8acbfef,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.852152043953538,4.327667001998829e-05,1.5173339062247156e-05,37.486937575,78.61249507701125,70.0,2.411023277642296e-05,6.188477173196816e-05,4.48617073125206e-05,0.0001308567118209,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,17,2025-09-26T16:15:22,codecarbon,23617ee2-4ba5-4099-bc1c-3da94481c71a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.911050607915968,4.470891978258563e-05,1.5358345080298318e-05,37.456877332000005,80.23231943731612,70.0,2.4712284849342955e-05,6.447616269866785e-05,4.599899245400189e-05,0.000135187440002,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,18,2025-09-26T16:16:07,codecarbon,d6119b4f-272c-417c-b07e-f5818d281dc9,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9361083703115582,4.585461301246047e-05,1.5617479748404082e-05,37.5181751395,82.8455985642448,70.0,2.501024480054732e-05,6.712227591521014e-05,4.651917956200325e-05,0.0001386517002777,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,19,2025-09-26T16:16:53,codecarbon,7e7c9302-f8c9-4f22-b174-73251b398368,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.7706467867828906,4.162396583637382e-05,1.5023194596632463e-05,37.6692778855,77.49809525427845,70.0,2.3374043043462624e-05,5.922865850038761e-05,4.325668874144969e-05,0.0001258593902852,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,20,2025-09-26T16:17:37,codecarbon,0f61ce16-e7db-445e-8267-88473568e0da,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,3.035099352244288,4.681884961312254e-05,1.5425804621025866e-05,37.5288924115,80.00711056691706,70.0,2.607406941665537e-05,6.70467203036651e-05,4.844649604314732e-05,0.0001415672857634,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,21,2025-09-26T16:18:23,codecarbon,c092fa35-fb15-4778-aeac-ca11eacca74c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.4070356632582843,3.54010556834005e-05,1.4707324957321095e-05,37.161556115500005,77.20266196372131,70.0,1.938609874887281e-05,5.131281881887162e-05,3.634410906945252e-05,0.0001070430266371,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,22,2025-09-26T16:19:08,codecarbon,ec198f0c-e246-42d6-92c7-25234ef01273,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8722134800627828,4.344677891113392e-05,1.5126584152854905e-05,37.374307318000014,77.90482202412883,70.0,2.429003338695761e-05,6.176921607448094e-05,4.531182471999071e-05,0.0001313710741814,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,23,2025-09-26T16:19:54,codecarbon,7034c836-df10-4e1d-ac13-6e679720c592,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9562581959180534,4.605279736552719e-05,1.5578070085054153e-05,37.7210800315,82.02767464365795,70.0,2.537708449006392e-05,6.693922021838716e-05,4.693465038176833e-05,0.0001392509550902,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,24,2025-09-26T16:20:39,codecarbon,fbfd817f-018c-4c1a-af0f-cec6b672b44b,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8926715389825404,4.447981684746766e-05,1.5376725718092716e-05,37.6321034305,80.70928613838726,70.0,2.459632663938662e-05,6.430921811073631e-05,4.558915117652052e-05,0.0001344946959266,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,25,2025-09-26T16:21:24,codecarbon,f7e6051a-bbac-4258-9856-c07c37c06c6c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8029924342408776,4.28063040259512e-05,1.527164451214234e-05,37.694855782000005,79.69305638342163,70.0,2.378157550030745e-05,6.166727155942908e-05,4.398560775055861e-05,0.0001294344548102,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,26,2025-09-26T16:22:09,codecarbon,f91c3770-3156-401d-a1ae-f3fd2ef7a3be,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9304203437641263,4.4871532199641945e-05,1.5312319372586816e-05,37.573251508,79.50494919230266,70.0,2.4993430666864976e-05,6.427894031446613e-05,4.640676411153335e-05,0.0001356791350928,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,27,2025-09-26T16:22:54,codecarbon,c710b98e-f9b4-4bca-a86e-9bb700f3da8f,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8802528558298945,4.351273387283063e-05,1.5107261775561436e-05,37.5963432265,77.34789127820639,70.0,2.451964740597144e-05,6.155004923158458e-05,4.550080715368192e-05,0.0001315705037912,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,28,2025-09-26T16:23:39,codecarbon,cd2ed9d5-718e-444e-aa44-3a15dcbe1341,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.9406725340522826,4.490695591701888e-05,1.5270981517665468e-05,37.5963685345,79.15715227674819,70.0,2.5097834222055927e-05,6.416921799967668e-05,4.651919442047883e-05,0.0001357862466422,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,29,2025-09-26T16:24:24,codecarbon,8886de3a-3f31-4470-ace9-af03b3e4a313,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.873099979013205,4.342003377155692e-05,1.5112608015287364e-05,37.761621616000006,77.56796668607602,70.0,2.4521992492885743e-05,6.149171585434487e-05,4.52764959100427e-05,0.0001312902042572,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,eval,30,2025-09-26T16:25:09,codecarbon,9669304e-a141-43f1-8b4d-2b091c61ad4a,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,2.8740580091252923,4.427777232411339e-05,1.5406012051089098e-05,37.507632026500005,80.82383681501929,70.0,2.4379092190325657e-05,6.417838467598358e-05,4.532629215779404e-05,0.0001338837690241,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,train,1,2025-09-26T16:03:02,codecarbon,9345f51c-ba0a-4bb6-b6de-9cad092ac4e0,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,36.37532591819763,0.001033508123355,2.841233988333952e-05,0.0,0.0,70.0,0.0003680881611011,0.0011663764886478,0.0015905788113117,0.0031250434610607,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,train,2,2025-09-26T16:03:51,codecarbon,54df0831-0d8f-40fb-94f1-d80054bf5f6c,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,35.32866141293198,0.0010277374201348,2.9090754617685025e-05,0.0,0.0,70.0,0.000357281302233,0.0011801673330253,0.0015701458111728,0.0031075944464313,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,train,3,2025-09-26T16:04:38,codecarbon,b55a9625-7786-4ea1-8cb0-61c06821d8be,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,34.16616845596582,0.0010095255610778,2.954752044786494e-05,0.0,0.0,70.0,0.0003453513697601,0.0011593856497356,0.0015477897890778,0.0030525268085736,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,train,4,2025-09-26T16:05:23,codecarbon,fdbe773d-f06c-4fe4-b1e1-ca4aa8d34eb8,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,33.03241970203817,0.000990348218914,2.9981098201320664e-05,0.0,0.0,70.0,0.0003336068306772,0.0011355717417842,0.0015253612436781,0.0029945398161395,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
resnet18,cifar100,train,5,2025-09-26T16:06:08,codecarbon,1e82e869-d268-4b61-807c-1a4f8696abe5,5b0fa12a-3dd7-45bb-9766-cc326314d9f1,32.21250414010137,0.0009742091635372,3.0243198706320365e-05,0.0,0.0,70.0,0.0003252446891491,0.0011107797775053,0.0015097152981519,0.0029457397648064,Italy,ITA,tuscany,,,Linux-5.15.0-142-generic-x86_64-with-glibc2.35,3.10.12,3.0.4,96,Intel(R) Xeon(R) Gold 5418Y,1,1 x NVIDIA L40S,11.2516,43.7825,503.5681610107422,machine,N,1.0,MATLAB
